Event ID,Database,ID,Date/Time,Nearest town,State,Latitude,Longitude,Comments,,,,,,,
23725,Wind,5620,3/01/2010 1:30,ARMIDALE,NSW,-30.5151,151.665,Weatherzone photos near Armidale showed trees down as a result of wind damage between about 12:30 and 1pm local time on 3/1/10.,,,,,,,
23726,Rain,3377,4/01/2010 6:25,INVERELL,NSW,-29.7817,151.1178,Spotter reported 58mm of rain about 11km north of Inverell starting at 5:25pm local.,,,,,,,
23727,Wind,5621,5/01/2010 0:43,WAGGA WAGGA AERODROME,NSW,-35.1318,147.4179,51 knot  gust recorded at Wagga Wagga airport AWS at 0043 UTC on 5/1/10.,,,,,,,
23728,Rain,3378,5/01/2010 8:00,SPRINGWOOD,NSW,-33.6984,150.5679,Spotter reported 50mm of rain at Springwood starting at 7pm local on 5/1/10.,,,,,,,
23729,Rain,3379,5/01/2010 7:00,CANOWINDRA,NSW,-33.5651,148.6512,Spotter reported 30mm of rain at Canowindra in 30 minutes around 6pm local on 5/1/10.,,,,,,,
23730,Hail,3053,6/01/2010 3:00,HAZELBROOK,NSW,-33.7317,150.4512,"Report on Weatherzone of 3-4cm hail at Hazelbrook, no time given. Time estimated as about 2pm local from time of report.",,,,,,,
23731,Rain,3380,6/01/2010 4:20,COONABARABRAN,NSW,-31.2651,149.2679,32mm of rain in 30 minutes to 3:20pm (local) reported from Coonabarabran on 6/1/10.,,,,,,,
23732,Rain,3381,7/01/2010 3:06,WALCHA,NSW,-30.9817,151.5845,"27mm of rain recorded at Walcha rain gauge in 30 minutes to 2:36pm, 44mm in 60 minutes to 3:06pm. Flash flooding in town after 3pm reported by synoptic observer.",,,,,,,
23732,Rain,3382,7/01/2010 4:00,WOOLBROOK,NSW,-30.9651,151.3511,50mm of rain in 1 hour starting from 3pm at Woolbrook with severe flooding reported by storm spotter.,,,,,,,
23733,Wind,5622,10/01/2010 7:00,COONABARABRAN,NSW,-31.2651,149.2679,"Roof damage from severe winds with a thunderstorm at Coonabarabran on 10/1/10 reported by the SES, time was probably roughly 6pm local (42 knot gust at 6:17pm). Water damage also reported - may have been heavy (severe) rain or just moderate rain after roof damage occurred.",,,,,,,
23734,Wind,5623,13/01/2010 7:46,GUNNEDAH AERODROME,NSW,-30.9484,150.2511,49 knot wind gust reported at 0746 UTC followed by 50kt gust at 0805 UTC on 13/1/10 at Gunnedah airport AWS.,,,,,,,
23735,Rain,3383,14/01/2010 5:50,NUNDLE,NSW,-31.4651,151.1345,49mm of rain in 1 hour starting from 5:50pm at Nundle.,,,,,,,
23736,Hail,3054,14/01/2010 7:10,ORANGE,NSW,-33.2817,149.1012,Hail with largest size 3cm and most common size 2cm reported from 8km SW of Orange at 0710 UTC on 14/1/10.,,,,,,,
23737,Rain,3384,15/01/2010 4:50,OGUNBIL,NSW,-31.3401,151.2845,42mm of rain recorded by rain gauge at Ogunbil in the hour to 4:50pm on 15/1/10.,,,,,,,
23738,Rain,3385,16/01/2010 2:10,BLACKHEATH,NSW,-33.6317,150.2846,104mm of rain reported by spotter at Blackheath starting at 0210 UTC on 16/1/10.,,,,,,,
23739,Rain,3386,16/01/2010 4:30,YARROWITCH,NSW,-31.2484,152.0011,56mm of rain recorded in 1 hour to 4:30pm at Yarrowitch rain gauge on 16/1/10.,,,,,,,
23740,Wind,5624,17/01/2010 4:38,MURRURUNDI,NSW,-31.7651,150.8345,48 knot gust recorded at Murrurundi AWS at 0438 UTC on 17/1/10.,,,,,,,
23740,Wind,5625,17/01/2010 4:57,SCONE,NSW,-32.0484,150.8678,50 knot gust recorded at Scone AWS at 0457 UTC on 17/1/10.,,,,,,,
23742,Wind,5626,17/01/2010 5:00,GRAFTON,NSW,-29.6817,152.9345,"SES reported trees down due to wind in the Grafton area, also strong winds with horizontal rain reported by a spotter at nearby Swan Creek.",,,,,,,
23742,Hail,3055,17/01/2010 5:00,PILLAR VALLEY,NSW,-29.7651,153.1178,Almost cricket ball size hail reported from Pillar Valley just east of Grafton at 16:03 local on 17/1/10. Assume it happened shortly before. Approximated hail size to 7cm (cricket ball = 7.2cm).,,,,,,,
23743,Wind,5627,17/01/2010 3:00,WAUCHOPE,NSW,-31.4651,152.7345,SES reported trees down due to wind from a thunderstorm at Wauchope. Time estimated from radar as approximately 0300 UTC.,,,,,,,
23744,Hail,3056,27/01/2010 4:00,WHIPORIE,NSW,-29.2817,152.9845,Golf ball sized hail reported by spotter Halden Boyd 2nd hand from CB radio report near Whiporie. Radar indicates time about 0400 UTC.,,,,,,,
23744,Rain,3388,27/01/2010 4:55,CASINO AIRPORT,NSW,-28.8817,153.0511,"51.8 mm of rain from storm at Casino airport AWS between about 05 and 06 UTC, including 47.8mm in 28 minutes between 0455 and 0523 UTC.",,,,,,,
23744,Wind,5629,27/01/2010 5:00,MALLANGANEE,NSW,-28.8984,152.7178,Storm spotter reported power lines down in Mallanganee and Bonalbo areas on 27/1/10. Time estimated as 05Z from radar.,,,,,,,
23744,Wind,5631,27/01/2010 5:00,CASINO,NSW,-28.8484,153.0511,Northern Star newspaper reported roofs and walls blown off houses and about 100 trees down (including giant hardwood ironbarks)in the north Casino area and and a power outage between Casino and Kyogle from storm on the afternoon of 27/1/10.,,,,,,,
23744,Hail,3058,27/01/2010 5:00,CASINO,NSW,-28.8484,153.0511,3cm hail reported by spotter in severe storm at Casino. Time of storm estimated as 05 to 06Z from radar.,,,,,,,
23744,Wind,5628,27/01/2010 5:04,CASINO AIRPORT,NSW,-28.8817,153.0511,49 knot wind gust reported from Casino airport AWS at 0504Z on 27/1/10.,,,,,,,
